genome,GC,species,GRiD,Species_heterogeneity,Coverage,ids,id,group
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,6.15,0.512195122,0.576,LD210118-0064_S20210207-0013_FM65.GRiD,FM65,FluA
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,1,0,0.252,LD210118-0066_S20210207-0015_FM73.GRiD,FM73,FluB
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,1.58,0.151898734,0.993,LD210120-0004_S20210207-0019_FM195.GRiD,FM195,FluA
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,1.49,0.194630872,1.344,LD210120-0006_S20210207-0021_FM321.GRiD,FM321,FluA
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,3.24,0.404320988,0.308,LD210120-0009_S20210207-0024_FM373.GRiD,FM373,FluA
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,1.41,0.19858156,0.427,LD210120-0010_S20210207-0025_FM376.GRiD,FM376,FluAB
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,2.07,0.347826087,0.354,LD210120-0013_S20210207-0028_FM383.GRiD,FM383,FluA
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,1.67,0.209580838,0.716,LD210120-0014_S20210207-0029_FM386.GRiD,FM386,FluAB
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,2.14,0.257009346,0.24,LD210120-0015_S20210207-0030_FM403.GRiD,FM403,FluAB
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,1.41,0.191489362,0.709,LD210120-0016_S20210207-0031_FM405.GRiD,FM405,FluA
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,1.52,0.138157895,1.346,LD210120-0017_S20210207-0032_FM506.GRiD,FM506,FluAB
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,2.44,0.397540984,0.621,LD210120-0018_S20210207-0033_FM589.GRiD,FM589,FluB
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,1.52,0.230263158,0.303,LD210120-0022_S20210207-0037_FHC633.GRiD,FHC633,Health
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,1.71,0.216374269,0.841,LD210120-0027_S20210207-0042_FHC671.GRiD,FHC671,Health
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,1.41,0.170212766,0.808,LD210120-0028_S20210207-0043_FHC680.GRiD,FHC680,Health
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,1.64,0.18902439,0.56,LD210120-0030_S20210207-0045_FHC712.GRiD,FHC712,Health
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.68,0.071428571,66.039,LD210118-0058_S20210207-0007_FM6.GRiD,FM6,FluB
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.51,0.046357616,163.701,LD210118-0059_S20210207-0008_FM14.GRiD,FM14,FluAB
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,3.04,0.230263158,0.878,LD210118-0061_S20210207-0010_FM55.GRiD,FM55,FluB
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,2.32,0.176724138,0.488,LD210118-0062_S20210207-0011_FM62.GRiD,FM62,FluB
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.85,0.194594595,0.999,LD210118-0063_S20210207-0012_FM63.GRiD,FM63,FluA
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1,0,0.295,LD210118-0064_S20210207-0013_FM65.GRiD,FM65,FluA
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.79,0.106145251,1.536,LD210120-0002_S20210207-0017_FM130.GRiD,FM130,FluA
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.47,0.081632653,1.99,LD210120-0003_S20210207-0018_FM174.GRiD,FM174,FluA
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.59,0.081761006,3.682,LD210120-0004_S20210207-0019_FM195.GRiD,FM195,FluA
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.48,0.047297297,61.409,LD210120-0006_S20210207-0021_FM321.GRiD,FM321,FluA
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,2.28,0.127192982,0.824,LD210120-0007_S20210207-0022_FM332.GRiD,FM332,FluB
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,2.39,0.192468619,0.463,LD210120-0008_S20210207-0023_FM359.GRiD,FM359,FluAB
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.72,0.110465116,1.399,LD210120-0010_S20210207-0025_FM376.GRiD,FM376,FluAB
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.68,0.160714286,1.108,LD210120-0013_S20210207-0028_FM383.GRiD,FM383,FluA
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.72,0.081395349,4.131,LD210120-0014_S20210207-0029_FM386.GRiD,FM386,FluAB
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.57,0.082802548,2.72,LD210120-0015_S20210207-0030_FM403.GRiD,FM403,FluAB
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.73,0.104046243,2.269,LD210120-0016_S20210207-0031_FM405.GRiD,FM405,FluA
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.41,0.063829787,18.703,LD210120-0017_S20210207-0032_FM506.GRiD,FM506,FluAB
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.84,0.108695652,3.041,LD210120-0018_S20210207-0033_FM589.GRiD,FM589,FluB
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.63,0.085889571,4.163,LD210120-0022_S20210207-0037_FHC633.GRiD,FHC633,Health
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,2.21,0.176470588,0.629,LD210120-0023_S20210207-0038_FHC636.GRiD,FHC636,Health
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,2.16,0.171296296,0.412,LD210120-0024_S20210207-0039_FHC644.GRiD,FHC644,Health
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.77,0.101694915,1.551,LD210120-0025_S20210207-0040_FHC649.GRiD,FHC649,Health
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,2.75,0.229090909,0.407,LD210120-0027_S20210207-0042_FHC671.GRiD,FHC671,Health
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.79,0.061452514,15.92,LD210120-0028_S20210207-0043_FHC680.GRiD,FHC680,Health
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,2.17,0.202764977,0.304,LD210120-0029_S20210207-0044_FHC705.GRiD,FHC705,Health
GCA_905371465.1_SRR6059111-mag-bin.8_genomic,GCA_905371465,Prevotella sp oral taxon 306,1.83,0.109289617,1.366,LD210120-0030_S20210207-0045_FHC712.GRiD,FHC712,Health
GCA_905372485.1_SRR9217416-mag-bin.1_genomic,GCA_905372485,Bacteroidetes oral taxon 274,1.6,0.23125,0.354,LD210118-0058_S20210207-0007_FM6.GRiD,FM6,FluB
GCA_905372485.1_SRR9217416-mag-bin.1_genomic,GCA_905372485,Bacteroidetes oral taxon 274,1.52,0.289473684,0.259,LD210118-0059_S20210207-0008_FM14.GRiD,FM14,FluAB
GCA_905372485.1_SRR9217416-mag-bin.1_genomic,GCA_905372485,Bacteroidetes oral taxon 274,1,0,0.308,LD210118-0060_S20210207-0009_FM44.GRiD,FM44,FluB
GCA_905372485.1_SRR9217416-mag-bin.1_genomic,GCA_905372485,Bacteroidetes oral taxon 274,1.49,0.255033557,0.289,LD210118-0061_S20210207-0010_FM55.GRiD,FM55,FluB
GCA_905372485.1_SRR9217416-mag-bin.1_genomic,GCA_905372485,Bacteroidetes oral taxon 274,1.54,0.253246753,1.159,LD210118-0063_S20210207-0012_FM63.GRiD,FM63,FluA
GCA_905372485.1_SRR9217416-mag-bin.1_genomic,GCA_905372485,Bacteroidetes oral taxon 274,1.71,0.292397661,0.43,LD210118-0064_S20210207-0013_FM65.GRiD,FM65,FluA
GCA_905372485.1_SRR9217416-mag-bin.1_genomic,GCA_905372485,Bacteroidetes oral taxon 274,1.55,0.167741935,0.693,LD210118-0065_S20210207-0014_FM72.GRiD,FM72,FluA
GCA_905372485.1_SRR9217416-mag-bin.1_genomic,GCA_905372485,Bacteroidetes oral taxon 274,1.9,0.310526316,0.245,LD210118-0066_S20210207-0015_FM73.GRiD,FM73,FluB
GCA_905372485.1_SRR9217416-mag-bin.1_genomic,GCA_905372485,Bacteroidetes oral taxon 274,1.47,0.285714286,0.375,LD210120-0005_S20210207-0020_FM245.GRiD,FM245,FluAB
GCA_905372485.1_SRR9217416-mag-bin.1_genomic,GCA_905372485,Bacteroidetes oral taxon 274,1.34,0.253731343,0.221,LD210120-0008_S20210207-0023_FM359.GRiD,FM359,FluAB
GCA_905372485.1_SRR9217416-mag-bin.1_genomic,GCA_905372485,Bacteroidetes oral taxon 274,2.97,0.457912458,0.456,LD210120-0013_S20210207-0028_FM383.GRiD,FM383,FluA
GCA_905372485.1_SRR9217416-mag-bin.1_genomic,GCA_905372485,Bacteroidetes oral taxon 274,1.4,0.25,0.275,LD210120-0014_S20210207-0029_FM386.GRiD,FM386,FluAB
GCA_905372485.1_SRR9217416-mag-bin.1_genomic,GCA_905372485,Bacteroidetes oral taxon 274,1.49,0.261744966,0.23,LD210120-0018_S20210207-0033_FM589.GRiD,FM589,FluB
GCA_905372485.1_SRR9217416-mag-bin.1_genomic,GCA_905372485,Bacteroidetes oral taxon 274,1.36,0.213235294,0.33,LD210120-0023_S20210207-0038_FHC636.GRiD,FHC636,Health
GCA_905372485.1_SRR9217416-mag-bin.1_genomic,GCA_905372485,Bacteroidetes oral taxon 274,1.44,0.270833333,0.441,LD210120-0025_S20210207-0040_FHC649.GRiD,FHC649,Health
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,3.54,0.564971751,1.925,LD210118-0058_S20210207-0007_FM6.GRiD,FM6,FluB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.94,0.335051546,3.473,LD210118-0059_S20210207-0008_FM14.GRiD,FM14,FluAB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,3.1,0.477419355,4.527,LD210118-0060_S20210207-0009_FM44.GRiD,FM44,FluB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.72,0.418604651,2.784,LD210118-0061_S20210207-0010_FM55.GRiD,FM55,FluB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.87,0.336898396,0.415,LD210118-0062_S20210207-0011_FM62.GRiD,FM62,FluB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.35,0.140740741,29.993,LD210118-0063_S20210207-0012_FM63.GRiD,FM63,FluA
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,5.52,0.628623188,3.664,LD210118-0064_S20210207-0013_FM65.GRiD,FM65,FluA
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,2.26,0.53539823,0.919,LD210118-0065_S20210207-0014_FM72.GRiD,FM72,FluA
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,4.22,0.526066351,8.666,LD210118-0066_S20210207-0015_FM73.GRiD,FM73,FluB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,2.21,0.43438914,0.794,LD210120-0001_S20210207-0016_FM106.GRiD,FM106,FluAB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,2.47,0.530364372,0.461,LD210120-0002_S20210207-0017_FM130.GRiD,FM130,FluA
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.93,0.373056995,1.886,LD210120-0004_S20210207-0019_FM195.GRiD,FM195,FluA
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,3.35,0.453731343,0.62,LD210120-0006_S20210207-0021_FM321.GRiD,FM321,FluA
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,2.01,0.358208955,3.744,LD210120-0007_S20210207-0022_FM332.GRiD,FM332,FluB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.83,0.415300546,0.985,LD210120-0008_S20210207-0023_FM359.GRiD,FM359,FluAB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,2.04,0.509803922,0.798,LD210120-0009_S20210207-0024_FM373.GRiD,FM373,FluA
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.42,0.14084507,6.474,LD210120-0010_S20210207-0025_FM376.GRiD,FM376,FluAB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,2.75,0.527272727,0.439,LD210120-0011_S20210207-0026_FM380.GRiD,FM380,FluAB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.55,0.35483871,1.621,LD210120-0012_S20210207-0027_FM382.GRiD,FM382,FluAB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,2.16,0.421296296,17.213,LD210120-0013_S20210207-0028_FM383.GRiD,FM383,FluA
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,2.92,0.506849315,2.617,LD210120-0014_S20210207-0029_FM386.GRiD,FM386,FluAB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.82,0.335164835,1.17,LD210120-0015_S20210207-0030_FM403.GRiD,FM403,FluAB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,2.51,0.601593625,1.104,LD210120-0016_S20210207-0031_FM405.GRiD,FM405,FluA
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,3.18,0.512578616,0.495,LD210120-0017_S20210207-0032_FM506.GRiD,FM506,FluAB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,2.52,0.496031746,2.344,LD210120-0018_S20210207-0033_FM589.GRiD,FM589,FluB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.57,0.25477707,2.159,LD210120-0020_S20210207-0035_FM608.GRiD,FM608,FluB
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.28,0.0703125,70.431,LD210120-0022_S20210207-0037_FHC633.GRiD,FHC633,Health
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,2.58,0.437984496,1.284,LD210120-0023_S20210207-0038_FHC636.GRiD,FHC636,Health
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,2.29,0.475982533,0.374,LD210120-0024_S20210207-0039_FHC644.GRiD,FHC644,Health
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,2.54,0.488188976,2.807,LD210120-0025_S20210207-0040_FHC649.GRiD,FHC649,Health
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.5,0.333333333,1.671,LD210120-0026_S20210207-0041_FHC659.GRiD,FHC659,Health
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.92,0.359375,5.678,LD210120-0027_S20210207-0042_FHC671.GRiD,FHC671,Health
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.27,0.133858268,2.74,LD210120-0028_S20210207-0043_FHC680.GRiD,FHC680,Health
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.55,0.232258065,1.633,LD210120-0029_S20210207-0044_FHC705.GRiD,FHC705,Health
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.64,0.280487805,2.282,LD210120-0030_S20210207-0045_FHC712.GRiD,FHC712,Health
GCA_905372545.1_SRR9217415-mag-bin.5_genomic,GCA_905372545,Neisseria sp oral taxon 014,1.46,0.219178082,1.796,LD210120-0031_S20210207-0046_FHC724.GRiD,FHC724,Health
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,2.18,0.229357798,0.301,LD210118-0058_S20210207-0007_FM6.GRiD,FM6,FluB
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1,0,0.425,LD210118-0059_S20210207-0008_FM14.GRiD,FM14,FluAB
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1.55,0.35483871,0.413,LD210118-0060_S20210207-0009_FM44.GRiD,FM44,FluB
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1.41,0.184397163,2.905,LD210118-0061_S20210207-0010_FM55.GRiD,FM55,FluB
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1.45,0.082758621,7.287,LD210118-0063_S20210207-0012_FM63.GRiD,FM63,FluA
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1.24,0.193548387,0.798,LD210118-0064_S20210207-0013_FM65.GRiD,FM65,FluA
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1.58,0.120253165,3.494,LD210118-0066_S20210207-0015_FM73.GRiD,FM73,FluB
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1.6,0.10625,2.188,LD210120-0001_S20210207-0016_FM106.GRiD,FM106,FluAB
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1.6,0.35625,1.25,LD210120-0005_S20210207-0020_FM245.GRiD,FM245,FluAB
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1.67,0.203592814,0.356,LD210120-0009_S20210207-0024_FM373.GRiD,FM373,FluA
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1,0,0.212,LD210120-0011_S20210207-0026_FM380.GRiD,FM380,FluAB
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1,0,0.259,LD210120-0012_S20210207-0027_FM382.GRiD,FM382,FluAB
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1.43,0.146853147,2.073,LD210120-0013_S20210207-0028_FM383.GRiD,FM383,FluA
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1.9,0.247368421,0.344,LD210120-0017_S20210207-0032_FM506.GRiD,FM506,FluAB
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1.82,0.137362637,1.569,LD210120-0018_S20210207-0033_FM589.GRiD,FM589,FluB
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,2.24,0.267857143,0.223,LD210120-0020_S20210207-0035_FM608.GRiD,FM608,FluB
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1.43,0.181818182,1.419,LD210120-0021_S20210207-0036_FM610.GRiD,FM610,FluB
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1.78,0.213483146,0.77,LD210120-0023_S20210207-0038_FHC636.GRiD,FHC636,Health
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1,0,0.29,LD210120-0025_S20210207-0040_FHC649.GRiD,FHC649,Health
GCA_905372685.1_SRR9217428-mag-bin.34_genomic,GCA_905372685,Porphyromonas sp oral taxon 278,1.76,0.329545455,0.601,LD210120-0027_S20210207-0042_FHC671.GRiD,FHC671,Health
GCA_905372705.1_SRR9217428-mag-bin.20_genomic,GCA_905372705,Actinobaculum sp oral taxon 183,1.98,0.257575758,0.213,LD210118-0062_S20210207-0011_FM62.GRiD,FM62,FluB
GCA_905372705.1_SRR9217428-mag-bin.20_genomic,GCA_905372705,Actinobaculum sp oral taxon 183,1.95,0.225641026,0.256,LD210120-0004_S20210207-0019_FM195.GRiD,FM195,FluA
GCA_905372705.1_SRR9217428-mag-bin.20_genomic,GCA_905372705,Actinobaculum sp oral taxon 183,1.33,0.105263158,2.139,LD210120-0012_S20210207-0027_FM382.GRiD,FM382,FluAB
GCA_905372705.1_SRR9217428-mag-bin.20_genomic,GCA_905372705,Actinobaculum sp oral taxon 183,2.19,0.223744292,0.246,LD210120-0016_S20210207-0031_FM405.GRiD,FM405,FluA
GCA_905372705.1_SRR9217428-mag-bin.20_genomic,GCA_905372705,Actinobaculum sp oral taxon 183,2.03,0.21182266,0.277,LD210120-0018_S20210207-0033_FM589.GRiD,FM589,FluB
GCA_905372705.1_SRR9217428-mag-bin.20_genomic,GCA_905372705,Actinobaculum sp oral taxon 183,1.18,0.050847458,8.514,LD210120-0021_S20210207-0036_FM610.GRiD,FM610,FluB
GCA_905372705.1_SRR9217428-mag-bin.20_genomic,GCA_905372705,Actinobaculum sp oral taxon 183,1.72,0.197674419,0.361,LD210120-0028_S20210207-0043_FHC680.GRiD,FHC680,Health
GCF_000008185.1_ASM818v1_genomic,GCF_000008185,Treponema denticola,1.27,0.212598425,0.296,LD210118-0060_S20210207-0009_FM44.GRiD,FM44,FluB
GCF_000008185.1_ASM818v1_genomic,GCF_000008185,Treponema denticola,1.14,0.122807018,0.437,LD210118-0061_S20210207-0010_FM55.GRiD,FM55,FluB
GCF_000008185.1_ASM818v1_genomic,GCF_000008185,Treponema denticola,1.48,0.202702703,0.475,LD210118-0065_S20210207-0014_FM72.GRiD,FM72,FluA
